CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
46;CH;140506;D;26;0;;0.98121;634.90;0.06218;AZUL;1055;;0
90;CH;111984;A;3;0;;1.90716;636.09;0.22521;AZUL;1055;;0
89;CH;140190;C;5;0;;1.94428;527.39;0.14788;AZUL;1055;;0
88;CH;96516;E;2;0;;1.96743;720.59;0.08863;AZUL;1055;;0
87;CH;140572;B;19;0;;2.46583;573.77;0.17053;AZUL;1055;;0
86;CH;96291;C;1;0;;2.9037;666.08;0.10307;AZUL;1055;;0
85;CH;125944;D;4;0;;1.69059;529.13;0.1166;AZUL;1055;;0
84;CH;111893;C;3;0;;0.56617;658.01;0.03472;AZUL;1055;;0
83;CH;141072;B;8;0;;2.78275;564.42;0.18557;AZUL;1055;;0
82;CH;140643;B;6;0;;2.21197;642.36;0.21778;AZUL;1055;;0
81;CH;95739;D;12;0;;4.24795;596.27;0.16049;AZUL;1055;;0
80;CH;95823;C;3;0;;1.30094;582.45;0.0937;AZUL;1055;;0
79;CH;140378;A;5;0;;2.1636;557.48;0.15916;AZUL;1055;;0
78;CH;67980;E;6;0;;4.03907;633.06;0.05942;AZUL;1055;;0
77;CH;140550;A;27;0;;3.5293;541.13;0.19018;AZUL;1055;;0
76;CH;140441;D;29;0;;1.76207;631.97;0.21908;AZUL;1055;;0
75;CH;140721;E;5;0;;0.81842;592.56;0.02544;AZUL;1055;;0
74;CH;118110;C;6;0;;2.22329;679.85;0.25237;AZUL;1055;;0
73;CH;75825;B;13;0;;2.34384;597.02;0.12421;AZUL;1055;;0
72;CH;141384;D;18;0;;3.39376;605.61;0.15958;AZUL;1055;;0
71;CH;44230;A;23;0;;2.73837;586.16;0.21624;AZUL;1055;;0
70;CH;97262;A;15;0;;1.46058;455.99;0.20483;AZUL;1055;;0
69;CH;82962;A;15;0;;1.7267;634.24;0.16873;AZUL;1055;;0
68;CH;111964;D;7;0;;2.81132;554.45;0.20515;AZUL;1055;;0
67;CH;141148;D;10;0;;3.48759;579.82;0.18644;AZUL;1055;;0
66;CH;140914;C;14;0;;0.85459;713.24;0.12367;AZUL;1055;;0
65;CH;141048;B;22;0;;1.63923;427.36;0.00905;AZUL;1055;;0
64;CH;84199;A;29;1;bisblg < -0.15;;nan;;AZUL;1055;;0
63;CH;112145;B;11;0;;0.47387;725.06;0.00901;AZUL;1055;;0
62;CH;140585;C;9;0;;2.18434;660.48;0.16086;AZUL;1055;;0
61;CH;141030;E;16;0;;3.15825;530.78;0.14196;AZUL;1055;;0
60;CH;140429;B;20;0;;2.16917;575.17;0.18087;AZUL;1055;;0
59;CH;118066;C;19;0;;1.933;569.05;0.17203;AZUL;1055;;0
58;CH;125654;E;14;0;;1.49576;547.56;0.01589;AZUL;1055;;0
57;CH;141355;A;23;0;;2.81233;685.76;0.17604;AZUL;1055;;0
56;CH;141364;A;20;0;;1.83281;482.46;0.04287;AZUL;1055;;0
55;CH;140631;B;28;0;;1.57605;733.97;0.25072;AZUL;1055;;0
54;CH;125706;E;25;0;;0.5628;708.51;0.00958;AZUL;1055;;0
53;CH;140568;A;21;0;;1.48568;587.45;0.17248;AZUL;1055;;0
52;CH;88045;D;18;0;;3.62371;551.64;0.275;AZUL;1055;;0
51;CH;87207;E;17;0;;4.79392;619.62;0.12998;AZUL;1055;;0
50;CH;140682;E;27;0;;1.88815;659.33;0.13196;AZUL;1055;;0
49;CH;140639;B;30;0;;2.71371;559.05;0.19782;AZUL;1055;;0
48;CH;141322;A;24;0;;2.8995;457.59;0.19356;AZUL;1055;;0
47;CH;83806;E;24;0;;1.98269;565.73;0.08702;AZUL;1055;;0
46;CH;141030;E;16;0;;3.15825;530.78;0.14196;AMARELA;1056;;0
90;CH;75825;B;13;0;;2.34384;597.02;0.12421;AMARELA;1056;;0
89;CH;141384;D;18;0;;3.39376;605.61;0.15958;AMARELA;1056;;0
88;CH;44230;A;23;0;;2.73837;586.16;0.21624;AMARELA;1056;;0
87;CH;97262;A;15;0;;1.46058;455.99;0.20483;AMARELA;1056;;0
86;CH;140550;A;27;0;;3.5293;541.13;0.19018;AMARELA;1056;;0
85;CH;140441;D;29;0;;1.76207;631.97;0.21908;AMARELA;1056;;0
84;CH;140721;E;5;0;;0.81842;592.56;0.02544;AMARELA;1056;;0
83;CH;118110;C;6;0;;2.22329;679.85;0.25237;AMARELA;1056;;0
82;CH;140639;B;30;0;;2.71371;559.05;0.19782;AMARELA;1056;;0
81;CH;141322;A;24;0;;2.8995;457.59;0.19356;AMARELA;1056;;0
80;CH;83806;E;24;0;;1.98269;565.73;0.08702;AMARELA;1056;;0
79;CH;140506;D;26;0;;0.98121;634.90;0.06218;AMARELA;1056;;0
78;CH;125944;D;4;0;;1.69059;529.13;0.1166;AMARELA;1056;;0
77;CH;111893;C;3;0;;0.56617;658.01;0.03472;AMARELA;1056;;0
76;CH;141072;B;8;0;;2.78275;564.42;0.18557;AMARELA;1056;;0
75;CH;140643;B;6;0;;2.21197;642.36;0.21778;AMARELA;1056;;0
