CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA
46;CH;60181.0;A;;0;;0.70844;476.18;0.02167;AZUL;53
46;CH;58938.0;B;;0;;221.264;549.35;0.16385;AZUL;69
47;CH;60182.0;A;;0;;141.931;548.6;0.30167;AZUL;53
47;CH;58251.0;C;;0;;117.622;563.21;0.20609;AZUL;69
48;CH;60183.0;C;;0;;176.944;654.03;0.20404;AZUL;53
48;CH;58068.0;C;;0;;122.035;473.29;0.149;AZUL;69
49;CH;60184.0;A;;0;;269.518;755.77;0.11948;AZUL;53
49;CH;58534.0;D;;0;;124.302;505.46;0.14673;AZUL;69
50;CH;60185.0;A;;0;;140.172;750.06;0.26532;AZUL;53
50;CH;58942.0;D;;0;;184.502;534.59;0.22276;AZUL;69
51;CH;60186.0;A;;0;;0.86791;529.87;0.00083;AZUL;53
51;CH;58744.0;C;;0;;147.937;565.36;0.14448;AZUL;69
52;CH;60187.0;A;;0;;143.883;632.07;0.10075;AZUL;53
52;CH;59197.0;B;;0;;131.967;487.88;0.20178;AZUL;69
53;CH;60188.0;E;;0;;118.998;661.1;0.09065;AZUL;53
53;CH;58087.0;E;;0;;256.547;555.48;0.2194;AZUL;69
54;CH;58533.0;E;;0;;0.9813;411.55;0.00725;AZUL;53
54;CH;58245.0;A;;0;;151.926;534.5;0.12704;AZUL;69
55;CH;60189.0;A;;0;;229.776;680.11;0.1608;AZUL;53
55;CH;58527.0;C;;0;;121.317;634.03;0.15623;AZUL;69
56;CH;60190.0;D;;0;;0.7605;722.7;0.15629;AZUL;53
56;CH;58530.0;C;;0;;210.707;535.35;0.2347;AZUL;69
57;CH;60191.0;D;;0;;150.978;581.63;0.19238;AZUL;53
57;CH;58759.0;A;;0;;160.076;500.93;0.12395;AZUL;69
58;CH;60192.0;B;;0;;292.255;783.05;0.22713;AZUL;53
58;CH;58760.0;A;;0;;131.405;518.23;0.07888;AZUL;69
59;CH;58536.0;B;;0;;120.882;522.52;0.08281;AZUL;53
59;CH;58100.0;D;;0;;251.547;560.18;0.23343;AZUL;69
60;CH;60193.0;E;;0;;147.286;527.24;0.0619;AZUL;53
60;CH;58715.0;E;;0;;200.853;547.95;0.30938;AZUL;69
61;CH;60194.0;E;;0;;172.548;515.23;0.27776;AZUL;53
